portuguese,english
this house is quite small,esta casa e bem pequena
you ignored me,voce me ignorava
we like coffee,nos gostamos de cafe
tom saw mary in the distance,tom viu mary ao longe
tom missed the last train,o tom perdeu o ultimo trem
i wonder whether tom is still tired,eu me pergunto se tom ainda esta cansado
what a fool ive been,como eu fui burro
tom took it,o tom pegou
i dont speak a word of french,eu nao falo uma palavra em frances
tom doesnt blame us,tom nao nos culpa
i think her name is mary,eu acho que ela se chama maria
i was stupid enough to believe it,fui tao estupida a ponto de acreditar
im going to find out what the problem is,eu vou descobrir qual e o problema
meat wont keep long in this heat,carne nao vai durar muito tempo neste calor
i clapped my hands,eu aplaudi
now that he has gone we miss him very much,agora que ele se foi nos sentimos muita saudade dele
he lives in a poor district of london,ele vive numa regiao pobre de londres
tom told mary that he wasnt tired,tom disse a maria que nao estava cansado
tom probably did that on october 20th,o tom provavelmente fez isso no dia 20 de outubro
are you busy on sunday afternoon,voce estara ocupado no domingo a tarde
we dont care about the money,nao nos importamos com dinheiro
im sure theyll win,tenho a certeza que eles irao ganhar
tom doesnt want to go out with mary,tom nao quer sair com a mary
youll be on time wont you,voce chegara na hora ne
tom didnt know what had happened to mary,tom nao sabia o que tinha acontecido com a mary
i thought you needed money,pensei que voce precisasse do dinheiro
she shouted to him but he didnt hear her,ela gritou com ele mas ele nao a ouviu
everybody knew tom,todo mundo conhecia tom
im one of you,sou um de voces
i dont know how to swim either,eu tambem nao sei nadar
how was the flight,como foi o voo
i think that youll approve,acho que voce vai aprovar
i wish i could think of a good answer,eu gostaria de poder pensar em uma boa resposta
lets play cards instead of watching television,joguemos cartas em vez de ver televisao
tom wrote to mary,tom escreveu para a mary
tom is not in,tom nao esta dentro
i couldnt find it,eu nao consegui achala
i tried to get back to sleep again,eu tentei voltar a dormir novamente
tom groaned,tom gemeu
i wanted to study french,eu queria estudar frances
i think that hes right,eu acho que ele esta certo
itll certainly be fun,com certeza vai ser divertido
you need to stop acting so stupid,voce precisa parar de agir de forma tao estupida
tom can sing better than anybody else i know,tom canta melhor do que qualquer pessoa que conheco
lets take a short cut,vamos pegar um atalho
the meeting is over,a reuniao acabou
a lot of people are lazy,muitas pessoas sao preguicosas
tom tried to convince mary not to do that,tom tentou convencer maria a nao fazer isso
why cant you explain what youre doing,por que voce nao pode explicar o que esta fazendo
tom knew mary told john to ask alice not to do that,tom sabia que mary disse a john para pedir a alice que nao fizesse isso
lend me your comb for a minute will you,empresteme o pente por um instante pode ser
i wonder if someone could help me do this,sera que alguem poderia me ajudar a fazer isto
im studying art at school,eu estou estudando arte na escola
tom asked me where id bought my computer,tom me perguntou onde eu compraria o meu computador
her dream will one day come true,o sonho dela um dia se tornara verdade
id feel the same way,eu me sentiria da mesma maneira
i knew we couldnt trust tom,eu sabia que nao poderiamos confiar em tom
they dont know who they should ask,eles nao sabem a quem deveriam perguntar
tom did what he was asked to do,tom fez o que ele pediu para fazer
tom doesnt want to go to sleep,tom nao quer ir dormir
tom is eager to get home to his wife,tom esta ansioso para chegar em casa com a sua esposa
this is interesting,isto e interessante
how much does a threeyear old weigh,quanto pesa uma crianca de tres anos
youve got to help them,voce deve ajudalos
tom and mary drank beer together,tom e maria tomaram cerveja juntos
were parents,nos somos pais
tom insisted on coming to see you,tom insistiu em vir ver voces
i dont want to fail the test,nao quero ser reprovado em meu exame
i think youve made a mistake,acho que voce cometeu um erro
tom is back where he belongs,tom esta de volta ao seu verdadeiro lugar
thatll take a couple hours,isso levara algumas horas
i just want to win thats all,eu so quero vencer e pronto
tom left the house without even saying goodbye,tom saiu de casa sem se despedir
we want it back,queremos isso de volta
i have a wonderful life,eu tenho uma vida maravilhosa
he removed his shirt,ele tirou a camisa
i havent paid too much attention to what toms been doing,eu nao tenho prestado muita atencao no que o tom tem feito
everyone knows tom,todos conhecem o tom
whatre you listening to,o que voce esta escutando
i was about to go out when the phone rang,eu estava quase saindo quando o telefone tocou
he did not want war,ele nao queria guerra
i used to complain a lot,eu reclamava muito
i am full of doubt,estou cheia de duvidas
i reckon that you should do that,eu acho que voce deveria fazer isso
theres no beer here,nao tem cerveja aqui
tom has finished,o tom terminou
tom didnt hate mary,tom nao odiava mary
do you want to leave a message no thanks,voces querem deixar uma mensagem nao obrigado
im sad without you,fico triste sem voce
i marked your birthday on my calendar,marquei seu aniversario no meu calendario
her bed is next to the wall,a cama dela fica perto da parede
the minutes were released monday,as atas foram liberadas segundafeira
who was in the car,quem estava no carro
tom told me he had a plan,tom me disse que ele tinha um plano
tom became a sailor,tom se tornou marinheiro
tom bit into the apple,o tom mordeu a maca
nobody here eats meat,ninguem aqui come carne
are you tired of waiting in line,esta cansada de esperar na fila
tom is visiting australia,tom esta visitando a australia
could you do something for me,poderiam fazer algo para mim
that day shall come,aquele dia ha de chegar
i like the same things you do,eu gosto das mesmas coisas que voce gosta
my home is close to the station,minha casa fica perto da estacao
the delegates voted ninetyfive times without success,as delegacoes votaram noventa e cinco vezes sem sucesso
its an order,e uma ordem
they wanted to keep southern states weak,eles queriam manter os estados do sul fracos
nothing was working,nada estava funcionando
i waited for three hours,esperei por tres horas
i didnt think that you were busy,eu nao achei que voce estivesse ocupado
i got injured,eu me machuquei
eat more fresh vegetables,comam mais vegetais frescos
dont you want to help,voce nao quer ajudar
we dont know who won,nao sabemos quem venceu
you owe me a kiss,estas me devendo um beijo
that was the first time id ever heard tom sing,foi a primeira vez que ouvi tom cantar
he was ill but today hes all right,ele estava doente mas hoje esta bem
its a surprise,e uma surpresa
i usually get up at six,eu costumo acordar as 6
well wait until tom gets here,nos vamos esperar ate o tom chegar aqui
ive already tried doing that three times,ja tentei fazer isso tres vezes
you figure it out,desvende isso
do you think tom wouldve done something that stupid,voce acha que tom teria feito algo tao estupido
i work at the airport,eu trabalho no aeroporto
just tell me which room tom is in,apenas me diga em que quarto o tom esta
everybody calls me tom,todos me chamam de tom
where is the closest travel agency,onde fica a agencia de viagens mais proxima
how can i get to the zoo from here,como posso chegar ao zoologico daqui
id like to try to do this on my own,eu gostaria de tentar fazer isso por minha conta
she said he would be sixteen next month,ela disse que ele teria dezesseis anos mes que vem
its as easy as that,e simples assim
tom put the bird back in the cage,tom colocou o passaro de volta na gaiola
tom was the only one that got arrested,tom foi o unico que foi preso
do you want me to stay with tom,voce quer que eu fique com o tom
my brother and i shared the room,meu irmao e eu compartilhavamos o quarto
sugar is sweet,o acucar e doce
i like music,eu gosto de musica
whys everyone looking at me,por que todo mundo esta me olhando
thats alright,tudo bem
dont let the soup get cold,nao deixe a sopa esfriar
tom looks guilty,tom parece culpado
